AreaZone,IntersectionType,CollisionType,Municipality,Latitude,Longitude,RoadCategory,RoadNumber,TrafficRegime,NrOfTrafficLanes,UpstreamTerminalNumber,DistanceToPR,AccidentSituation,StruckWithFixedObject,StruckWithMovingObject,InitialShockPoint
2,1,6,85,,,4,0,2,2,,,3,1,0,1
2,1,2,1,,,4,0,2,3,1,0,1,0,0,4
2,2,2,112,,,4,0,2,2,,,1,0,2,4
2,1,3,37,4269100,303100,3,81,2,1,0,0,1,0,2,5
1,1,6,558,4347300,175500,3,2,2,2,52,450,3,13,0,3
1,1,6,174,4860652,246882,6,0,0,0,,,0,0,1,1
1,1,1,311,0,0,2,1,2,2,253,0,1,0,2,3
2,2,3,109,,,4,0,2,2,,,1,0,2,2
2,1,6,118,,,4,0,1,1,,,5,0,1,0
2,1,6,134,4945751,555885,3,29,2,0,0,800,3,6,9,1
2,1,1,14,0,0,3,106,2,2,2,990,1,0,2,1
2,1,2,42,,,4,0,3,1,,,1,0,2,6
1,1,1,308,4840800,10100,3,166,2,1,1,800,1,0,2,3
2,1,4,41,4882150,239401,2,19,2,4,4,715,1,0,2,4
2,1,6,491,,,4,0,2,2,,,1,0,2,1
1,1,5,447,,,3,39,2,2,42,436,1,0,2,3
2,1,2,2,4881450,241193,2,19,3,4,6,500,1,0,0,5
2,3,3,259,,,4,0,2,2,0,0,1,0,2,2
2,2,3,103,,,4,0,3,2,,,1,8,0,9
1,1,2,582,,,1,15,3,8,10,400,2,0,2,4
2,1,1,29,,,2,0,2,2,,,1,0,2,3
1,1,2,125,0,0,3,14,2,2,69,200,3,0,2,4
2,2,6,482,,,4,0,2,2,1,0,1,0,1,1
2,1,6,55,,,4,0,2,0,,,1,0,1,0
1,1,1,168,0,0,3,999,2,2,19,800,1,0,2,1
2,5,6,111,,,4,0,1,4,,,1,0,2,5
2,3,3,110,,,4,0,1,1,,,1,0,9,3
2,2,3,63,4483058,-60305,4,0,3,0,,,1,0,2,8
2,2,5,2,,,3,0,1,1,,,0,1,2,3
2,1,6,119,4888870,239278,4,,2,3,,,1,0,1,1
1,1,1,5,4429578,455580,3,901,2,2,6,800,1,0,2,2
2,1,3,88,,,4,0,1,2,,,1,0,0,4
1,1,1,4,0,0,2,1,2,2,54,400,1,0,2,2
2,1,7,85,,,4,0,2,2,,,1,0,2,0
2,2,6,68,4,0,4,0,2,2,0,0,1,0,2,8
2,1,3,28,,,2,0,2,2,21,300,1,2,2,5
2,2,3,1,,,2,0,2,4,,,1,0,2,7
2,2,5,234,4,0,4,0,1,1,,,1,0,2,1
1,1,6,189,4386699,432694,3,926,2,2,4,400,1,0,5,1
2,1,6,114,,,4,0,2,0,,,1,1,0,9
1,9,1,165,0,0,3,578,2,2,55,100,1,0,2,8
2,1,7,110,,,4,0,1,1,,,1,0,0,0
2,6,6,247,0,0,2,,2,2,26,500,1,6,0,1
1,1,6,468,4924000,71800,3,130,2,0,0,0,1,0,1,3
2,2,3,29,,,4,0,1,2,,,1,0,2,1
2,1,1,23,,,4,0,2,2,,,1,0,2,1
2,1,6,62,4889963,251773,4,0,2,2,,,1,0,1,1
2,2,2,7,,,4,0,2,0,0,1,1,6,2,2
2,3,3,45,,,4,0,2,0,,,0,0,0,3
2,2,3,29,,,4,0,1,2,,,1,0,2,8
2,1,2,51,,,2,0,3,4,,,1,0,2,5
1,1,5,313,4772500,711100,3,83,2,0,6,222,1,3,2,7
2,3,3,501,,,4,0,3,2,,,1,0,2,3
2,1,6,286,,,4,0,1,1,,,1,0,0,2
1,1,3,235,0,0,3,59,2,2,25,200,1,0,0,8
2,1,3,555,,,4,0,2,2,,,1,0,2,3
2,1,3,189,4328543,272838,4,1,2,1,7,110,1,1,0,7
2,4,3,471,,,2,0,2,2,8,500,1,0,2,3
2,1,6,368,,,4,0,2,2,,,1,1,2,9
2,1,3,114,,,4,0,2,3,,,1,0,2,8
1,1,6,488,,,1,15,3,8,17,900,1,4,0,9
1,1,6,616,4867290,-137284,2,175,3,4,44,200,2,13,0,2
2,1,6,6,,,4,,2,4,2009,96,1,0,1,1
2,1,3,555,,,4,0,2,1,,,1,0,2,3
